web-scraper-order,web-scraper-start-url,profile,profile-href,brand,model,price,stars,t2size,t2width,arch,weight,comfort,style,comment
1588906604-5476,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=6,,https://www.zappos.com/p/on-cloudflyer-waterproof-black-lunar/product/9054670/color/80633,On,Cloudflyer Waterproof,$179.99 ,4Rated 4 stars out of 5,83%,83%,83%,Weight: 12 oz,,,"I have owned many water proof sneaks and shoes most of them carrying the Gore Tex logo. I was skeptical of these since they are not a Gore Tex product however they are very water proof even when running through streams. The problem is that of all my water proof shoes these are the least breathable and my feet sweat nearly immediately after putting them on. To be fair my Asics Gore Tex are even worse but other brands like Asolo, Arcteryx and Patagonia are far superior in breathability. So bottomline is these are great for bad weather but are terrible as a daily wear pair of sneaks. Although your feet will stay dry from outside elements, you will have very sweaty wet feet on the inside."
1588907397-8592,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/new-balance-fresh-foam-arishi-v2-grey-grey/product/9152110/color/4870,New Balance,Fresh Foam Arishi v2,$41.97 ,4Rated 4 stars out of 5,83%,86%,79%,Weight: 9 oz,,,"I always wear Nike 9.5 wide and have a wide foot. I wanted to try a new shoe.  I ordered 9.5 wide in New Balance. The shoe was about a half size to large felt like a 10 or 10.5. I sent back and Zappos return process very easy. I received the 2nd pair size 9/ 4E very fast shipping. The fit was perfect. The shoe looks great and very lightweight. The insole is very very thin. I can feel everything on the bottom of my feet as I walk especially if the ground is rocky. It has very little arch support. See attached photos of the insole, which are not glued in and can be removed easily. Overall rating should be 3.5 Stars."
1588907582-9570,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/brooks-levitate-2-black-teal-navy/product/9045793/color/887348,Brooks,Levitate 2,$98.94 ,4Rated 4 stars out of 5,89%,93%,68%,Weight: 13 oz,,,"Fit PERFECTLY right out of the box! I was concerned that they may fit too narrow because a lot of brands seem to be changing their styles for more narrow feet, but these babies are wonderful! Awesome for standing/walking/running. Totally worth the price."
1588906090-3568,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=9,,https://www.zappos.com/p/mizuno-wave-prophecy-8-black/product/9150763/color/3,Mizuno,Wave Prophecy 8,$199.95 ,4Rated 4 stars out of 5,100%,100%,83%,Weight: 14 oz,,5Rated 5 stars out of 5,
1588906335-4608,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/adidas-running-ultraboost-20-footwear-white-gold-metallic-crystal-white/product/9315046/color/844366,adidas Running,Ultraboost 20,$180.00 ,4Rated 4 stars out of 5,81%,100%,59%,Weight: 11.8 oz,5Rated 5 stars out of 5,,
1588906470-5234,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/on-cloud-dip-desert-clay/product/9225213/color/811612,On,Cloud Dip,$159.99 ,2Rated 2 stars out of 5,100%,100%,50%,Weight: 9.96 oz,5Rated 5 stars out of 5,,
1588905995-3161,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=9,,https://www.zappos.com/p/on-cloudstratus-orange-wash/product/9225228/color/811582,On,Cloudstratus,$169.99 ,5Rated 5 stars out of 5,81%,93%,56%,Weight: 12 oz,,5Rated 5 stars out of 5,
1588906209-4018,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/new-balance-fuelcell-propel-bayside-uv-blue/product/9221129/color/809625,New Balance,FuelCell Propel,$60.98 ,5Rated 5 stars out of 5,92%,85%,64%,Weight: 9 oz,,,Perfect fit & phenomenal comfort.
1588907727-10366,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-quantum-360-5-peacoat-peacoat/product/9216119/color/243898,ASICS,GEL-Quantum® 360 5,$119.95 ,4Rated 4 stars out of 5,57%,78%,100%,Weight: 14 oz,,,I just love this shoe is so comfortable. My favorite shoe. Thanks
1588907260-7924,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fresh-foam-more-uv-blue-light-cobalt/product/9191213/color/801389,New Balance,Fresh Foam More,$141.16 ,4Rated 4 stars out of 5,78%,83%,78%,Weight: 12 oz,2Rated 2 stars out of 5,,
1588906339-4637,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/adidas-running-response-trail-core-black-core-black-grey-six/product/9221122/color/780697,adidas Running,Response Trail,$38.00 ,3Rated 3 stars out of 5,86%,100%,100%,Weight: 12 oz,3Rated 3 stars out of 5,,
1588907347-8294,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fresh-foam-roav-magnet-black/product/9191252/color/415312,New Balance,Fresh Foam Roav,$69.99 ,4Rated 4 stars out of 5,88%,100%,81%,Weight: 11 oz,,4Rated 4 stars out of 5,
1588905983-3121,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=9,,https://www.zappos.com/p/on-cloudace-mist-stone/product/9054679/color/783166,On,Cloudace,$199.99 ,4Rated 4 stars out of 5,83%,100%,67%,Weight: 13 oz,5Rated 5 stars out of 5,,
1588907335-8220,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-890v7-uv-blue-bayside/product/9191218/color/832819,New Balance,890V7,$119.95 ,4Rated 4 stars out of 5,69%,62%,71%,Weight: 6.4 oz,,5Rated 5 stars out of 5,
1588907135-7417,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/spira-scorpius-ii-gray-black-white/product/9339975/color/68143,Spira,Scorpius II,$139.95 ,null,null,null,null,Weight: 14 oz,,,
1588906816-6307,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=5,,https://www.zappos.com/p/hoka-one-one-elevon-caribbean-sea-black/product/8972591/color/751342,Hoka One One,Elevon,$159.95 ,4Rated 4 stars out of 5,78%,94%,67%,Weight: 11 oz,,,I work 12.5 hour shifts at a hospital and these shoes are great!  I will buy another pair in the future.
1588906428-5141,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/brooks-beast-18-grey-navy-white/product/9056599/color/20829,Brooks,Beast '18,$99.95 ,4Rated 4 stars out of 5,87%,90%,55%,Weight: 14.6 oz,,,"I suffer from plantar fasciitis in both beet and these feel like they were made specifically for my condition.  I would describe them as Cadillac Escalades for my feet... large and luxurious, but not necessarily the most fashionable!  For what they lack in looks they more than make up for in comfort.   I am not a fan of the two toned soles and they only come in 2 colorways, but these are by far the most stable and supportive shoes that I own which include the following stability/support shoes... Adidas Ultraboost ST, Brooks Adrenaline GTS 19 and Brooks Bedlam. Get them and your feet will thank you!"
1588907254-7890,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fresh-foam-roav-marblehead-uv-blue/product/9191252/color/801397,New Balance,Fresh Foam Roav,$69.99 ,4Rated 4 stars out of 5,88%,100%,81%,Weight: 11 oz,,,"Overall a very comfortable show.  My only issue was that for my normal size, the toe (box) area of the show is a bit narrow, causing my big toe to contact the outside of the shore more than other (New Balance) styles.  I felt this might cause rubbing of the big tow after hours of wear.  So, I reluctantly sent them back.  My advice - give them a try.  Also, I think the show has great style."
1588906242-4196,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/nike-legend-react-2-black-white-cool-grey-metallic-cool-grey/product/9222117/color/810299,Nike,Legend React 2,$100.00 ,5Rated 5 stars out of 5,100%,100%,50%,Weight: 11 oz,,,"very comfortable, look better in person"
1588907964-11746,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/asics-gt-1000-9-black-black/product/9315817/color/183092,ASICS,GT-1000 9,$99.95 ,4Rated 4 stars out of 5,100%,75%,60%,Weight: 10 oz,4Rated 4 stars out of 5,,
1588906045-3361,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=9,,https://www.zappos.com/p/saucony-stretch-go-ease-black-charcoal/product/9060140/color/133,Saucony,Stretch & Go Ease,$69.95 ,3Rated 3 stars out of 5,100%,100%,50%,Weight: 9 oz,,,"Shoes are comfortable, fit wonderfully, and are easy on/easy off.  But the shoe tread is very slick, almost like socks on a hardwood floor.  Thinking this was just because the shoe was new, I roughened up the tread in the driveway.  But this made no difference.  Not sure if this is something weird with the shoes I received or if this is just how they are."
1588906742-6038,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=5,,https://www.zappos.com/p/on-cloud-2-0-black-slate/product/8974387/color/3258,On,Cloud 2.0,$129.99 ,4Rated 4 stars out of 5,81%,92%,77%,Weight: 9 oz,,,"These were my 3rd pair of ON Cloud shoes. My first two pair were the original Cloud and the 3rd pair are the Cloud 2.0. While the fit and the feel are almost exactly the same as the original, the inner liner of the 2.0 version (especially at the heel) is not as durable. I have a pair that is almost 3 years old now that are in better condition than this last pair. Nothing changed about how I wear them. I'm really torn on buying a 4th pair because I have the hardest time finding shoes that fit me well and these are near perfect."
1588907067-7065,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/on-cloudswift-rust-rock/product/9142212/color/783170,On,Cloudswift,$149.99 ,5Rated 5 stars out of 5,85%,91%,69%,Weight: 11 oz,5Rated 5 stars out of 5,,
1588906403-4977,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/brooks-levitate-2-tan-brown-wood/product/9045793/color/782728,Brooks,Levitate 2,$84.94 ,4Rated 4 stars out of 5,89%,93%,68%,Weight: 13 oz,,4Rated 4 stars out of 5,
1588906114-3671,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/saucony-versafoam-flare-navy/product/9161114/color/9,Saucony,Versafoam Flare,$69.95 ,4Rated 4 stars out of 5,100%,100%,80%,Weight: 8 oz,5Rated 5 stars out of 5,,
1588907090-7170,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/on-cloud-2-0-all-black/product/8974387/color/8768,On,Cloud 2.0,$129.99 ,4Rated 4 stars out of 5,81%,92%,77%,Weight: 9 oz,4Rated 4 stars out of 5,,
1588907013-6830,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/hoka-one-one-bondi-6-dresden-blue-black/product/9052010/color/290836,Hoka One One,Bondi 6,$149.95 ,4Rated 4 stars out of 5,82%,85%,72%,Weight: 13 oz,,2Rated 2 stars out of 5,
1588907461-8920,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/nike-downshifter-9-black-white-particle-grey-dark-smoke-grey/product/9191891/color/839244,Nike,Downshifter 9,$46.97 ,4Rated 4 stars out of 5,83%,82%,77%,Weight: 10 oz,2Rated 2 stars out of 5,,
1588906360-4740,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/adidas-running-ultraboost-20-solar-red-boost-blue-violet-metallic-footwear-white/product/9315046/color/840146,adidas Running,Ultraboost 20,$180.00 ,4Rated 4 stars out of 5,81%,100%,59%,Weight: 11.8 oz,,5Rated 5 stars out of 5,
1588907910-11408,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/brooks-beast-20-black-ebony-grey/product/9305382/color/538644,Brooks,Beast '20,$160.00 ,4Rated 4 stars out of 5,89%,79%,78%,Weight: 13 oz,,5Rated 5 stars out of 5,
1588907762-10554,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-nimbus-22-mink-black/product/9315741/color/163791,ASICS,GEL-Nimbus® 22,$149.95 ,4Rated 4 stars out of 5,90%,85%,85%,Heel Height: 2 in,,,"Love these shoes!

I have feet issues involving plantar fasciitis and arthritis. The arch and heel support are excellent and the wide toe box is perfect for my poor arthritis feet. I was drawn the retro style of the white with blue and red stripes, which reminded me of Tigers I wore in college. These are my new favorite shoes."
1588906515-5304,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/on-cloudsurfer-jungle-lime/product/8379585/color/811586,On,Cloudsurfer,$149.99 ,4Rated 4 stars out of 5,80%,95%,69%,Weight: 14 oz,,,"I have ""messy"" feet (flat, narrow heel, currently nursing Morton's Neuroma in my left) and these are awesome! They handle my custom orthotic and provide plenty of arch support and comfort too. I've bought and returned a lot of shoes over the past 6 months from Zappos and these are a keeper. It's got pretty unique styling which even my teenage son approved of."
1588906114-3674,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/saucony-versafoam-flare-navy/product/9161114/color/9,Saucony,Versafoam Flare,$69.95 ,4Rated 4 stars out of 5,100%,100%,80%,Weight: 8 oz,2Rated 2 stars out of 5,,
1588907303-8072,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fresh-foam-more-black-orca/product/9191213/color/787172,New Balance,Fresh Foam More,$131.16 ,4Rated 4 stars out of 5,78%,83%,78%,Weight: 12 oz,5Rated 5 stars out of 5,,
1588907681-10166,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/brooks-ghost-12-microchip-grey-poseidon/product/9223532/color/857597,Brooks,Ghost 12,$129.95 ,4Rated 4 stars out of 5,86%,85%,81%,Weight: 10 oz,,5Rated 5 stars out of 5,
1588906130-3769,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/on-cloudswift-ivy-jungle/product/9142212/color/839262,On,Cloudswift,$149.99 ,5Rated 5 stars out of 5,85%,91%,69%,Weight: 11 oz,,5Rated 5 stars out of 5,
1588907343-8266,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fresh-foam-1080v10-neo-crimson-neo-flame/product/9326406/color/840609,New Balance,Fresh Foam 1080v10,$149.95 ,4Rated 4 stars out of 5,84%,82%,74%,Weight: 10 oz,5Rated 5 stars out of 5,,
1588905983-3127,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=9,,https://www.zappos.com/p/on-cloudace-mist-stone/product/9054679/color/783166,On,Cloudace,$199.99 ,4Rated 4 stars out of 5,83%,100%,67%,Weight: 13 oz,,,"Second pair of On sneakers, while the upper is not quite as comfortable of the cloud Swift. The sole and outsole offer more support. Very nice styling and good color combinations. I am getting ready to order a second pair within 6 weeks of getting the first."
1588907824-10926,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/new-balance-rubix-steel-hi-lite/product/9123884/color/667026,New Balance,Rubix,$80.98 ,4Rated 4 stars out of 5,100%,80%,80%,Weight: 12 oz,,,This is my first pair of true running shoes and so far I'm please with how they feel. I appreciate the low profile and neutral colors.
1588906567-5403,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=6,,https://www.zappos.com/p/altra-footwear-provision-4-black-gray-red/product/9330800/color/27016,Altra Footwear,Provision 4,$129.95 ,4Rated 4 stars out of 5,100%,100%,67%,Weight: 10 oz,3Rated 3 stars out of 5,,
1588907843-11033,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/new-balance-fresh-foam-vongo-v4-black-black-metallic/product/9221133/color/163440,New Balance,Fresh Foam Vongo v4,$139.95 ,4Rated 4 stars out of 5,80%,88%,56%,Weight: 1 lb,,5Rated 5 stars out of 5,
1588906410-5010,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=7,,https://www.zappos.com/p/asics-gel-cumulus-21-stone-grey-performance-black/product/9215264/color/831006,ASICS,GEL-Cumulus® 21,$99.95 ,4Rated 4 stars out of 5,90%,97%,84%,Weight: 11 oz,4Rated 4 stars out of 5,,
1588907492-9072,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/nike-downshifter-10-pure-platinum-white-hyper-royal/product/9356425/color/856114,Nike,Downshifter 10,$60.00 ,4Rated 4 stars out of 5,100%,100%,100%,Weight: 9.3 oz,5Rated 5 stars out of 5,,
1588906072-3487,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=9,,https://www.zappos.com/p/hoka-one-one-hupana-em-black-white/product/9140324/color/151,Hoka One One,Hupana EM,$114.95 ,5Rated 5 stars out of 5,90%,88%,78%,Weight: 9 oz,,5Rated 5 stars out of 5,
1588906691-5801,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=6,,https://www.zappos.com/p/skechers-go-run-consistent-black-grey/product/9369965/color/139,SKECHERS,Go Run Consistent,$49.99 ,5Rated 5 stars out of 5,100%,100%,100%,Heel Height: 1 3?10 in,5Rated 5 stars out of 5,,
1588906669-5720,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=6,,https://www.zappos.com/p/saucony-guide-13-blackout/product/9338840/color/17860,Saucony,Guide 13,$120.00 ,5Rated 5 stars out of 5,100%,100%,50%,Weight: 11 oz,5Rated 5 stars out of 5,,
1588907104-7245,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/on-cloudflow-rust-limelight/product/8810879/color/839258,On,Cloudflow,$139.99 ,4Rated 4 stars out of 5,84%,95%,77%,Weight: 9 oz,,,Love these shoes. Super lightweight and comfortable.  Only had them a short while so can't comment on durability.  The only issue I had was that I had to exchange sizes initially. I usually wear a 10.5 in New Balance and it seemed most people felt like these ran the same as New Balance so I got the 10.5. I ended up exchanging them for a 10 which fit perfectly.
1588907816-10864,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/new-balance-fresh-foam-vongo-v4-chambray-lynx-blue/product/9221133/color/809631,New Balance,Fresh Foam Vongo v4,$139.95 ,4Rated 4 stars out of 5,80%,88%,56%,Weight: 1 lb,5Rated 5 stars out of 5,,
1588906213-4035,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=8,,https://www.zappos.com/p/asics-dynaflyte-4-peacoat-flash-coral/product/9215317/color/807686,ASICS,Dynaflyte 4,$119.95 ,null,null,null,null,Weight: 10 oz,,,
1588907766-10572,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-nimbus-22-piedmont-grey-black/product/9315741/color/807679,ASICS,GEL-Nimbus® 22,$149.95 ,4Rated 4 stars out of 5,90%,85%,85%,Heel Height: 2 in,5Rated 5 stars out of 5,,
